channel_number,cycle_number,marker_name,Filter,excitation_wavelength,emission_wavelength,exposure
1,1,DAPI,,,,
2,1,CD20,,,,
3,1,CD8,,,,
4,1,CD4,,,,
5,1,CK19,,,,
6,1,DAPI,,,,
7,1,PCNA,,,,
8,1,HER2,,,,
9,1,ER,,,,
10,1,CD45,,,,
11,1,DAPI,,,,
12,1,pHH3,,,,
13,1,CK14,,,,
14,1,CD44,,,,
15,1,CK5,,,,
16,1,DAPI,,,,
17,1,Vimentin,,,,
18,1,CK7,,,,
19,1,PD1,,,,
20,1,LamAC,,,,
21,1,DAPI,,,,
22,1,aSMA,,,,
23,1,CD68,,,,
24,1,Ki67,,,,
25,1,Ecad,,,,
26,1,DAPI,,,,
27,1,CK17,,,,
28,1,PDPN,,,,
29,1,CD31,,,,
30,1,CD3,,,,
